channel_name,channel_id,video_url,video_title,views,likes,comments
CA Rachana Phadke Ranade,UCe3qdG0A_gr-sEdat5y2twQ,https://www.youtube.com/watch?v=WhvDlgP6tMY,IRAN vs ISRAEL | Impact on India | BUY THE DIP? | CA Rachana Ranade,21118,1073,88
CA Rachana Phadke Ranade,UCe3qdG0A_gr-sEdat5y2twQ,https://www.youtube.com/watch?v=70kugKq9IEk,India vs Global Economy 2025 | What Investors Need to Know ft. Prashant Sharma | CA Rachana Ranade,11083,344,35
CA Rachana Phadke Ranade,UCe3qdG0A_gr-sEdat5y2twQ,https://www.youtube.com/watch?v=OH_1AJFnsEQ,Will Jio BlackRock Disrupt India's ?67 Trillion Mutual Fund Industry? | CA Rachana Ranade,143721,3081,209
CA Rachana Phadke Ranade,UCe3qdG0A_gr-sEdat5y2twQ,https://www.youtube.com/watch?v=_2yYmyaiI6E,Stock of the Month | June 2025 | CA Rachana Ranade,0,140,30
CA Rachana Phadke Ranade,UCe3qdG0A_gr-sEdat5y2twQ,https://www.youtube.com/watch?v=AaxmSbhciZA,Is This the Right Time to Sell? | 3 Must Know Rules! | CA Rachana Ranade,50230,1860,67
CA Rachana Phadke Ranade,UCe3qdG0A_gr-sEdat5y2twQ,https://www.youtube.com/watch?v=UaNJ_naSxy4,Watch This Before Investing in Dubai |Ft. CA Balaram Vuchidi |@Spectrum-Auditing | CA Rachana Ranade,23790,405,22
CA Rachana Phadke Ranade,UCe3qdG0A_gr-sEdat5y2twQ,https://www.youtube.com/watch?v=FZtlY-pIJWI,How to pick Stocks like a Pro? | Ready Checklists for different Investing Styles | CA Rachana Ranade,48315,1977,90
CA Rachana Phadke Ranade,UCe3qdG0A_gr-sEdat5y2twQ,https://www.youtube.com/watch?v=0HNnFF-ORw0,"Railway Stocks on Fire! | Railtel, IRCON, Titagarh, JWL, RVNL, IRFC, IRCTC | CA Rachana Ranade",75483,2017,148
CA Rachana Phadke Ranade,UCe3qdG0A_gr-sEdat5y2twQ,https://www.youtube.com/watch?v=Pu2wYE5fCyA,Why Nifty is Up Today? |  CA Rachana Ranade,40458,1274,64
CA Rachana Phadke Ranade,UCe3qdG0A_gr-sEdat5y2twQ,https://www.youtube.com/watch?v=77wB76sJt4g,Defense Stocks on Fire! What�s Fueling the Rally | CA Rachana Ranade,39889,1165,88
